Beacon_ID,Type,Location_General,Location_Specific,Description,Coordinates
c2007d000052,MiniBeacon,UVA,276 Olsson,281 <-> 283,"3.72,6.71,1.1"
c2007d000059,MiniBeacon,UVA,276 Olsson,275 <-> 277,"8.54,3.54,1.1"
c2007d00009f,MiniBeacon,UVA,286 Olsson,,"7.79,9.97,1.1"
c2007d000392,MiniBeacon,UVA,270 Olsson,271 <-> 273,"15.58,5.08,1.1"
c2007d00038c,MiniBeacon,UVA,C260 Olsson,267 <-> 269,"22.12,5.08,1.1"
c2007d000097,MiniBeacon,UVA,C260 Olsson,opp 263,"30.66,7.11,1.1"
c2007d000098,MiniBeacon,UVA,C260 Olsson,259 <-> 261,"35.13,5.08,1.1"
c2007d000064,MiniBeacon,UVA,260 Olsson,260 wall,"37.7,6.62,1.1"
c2007d000099,MiniBeacon,UVA,240 Olsson,253 <-> 255,"44.95,5.08,1.1"
c2007d00038e,MiniBeacon,UVA,240 Olsson,249 <-> 251,"52.45,3.14,1.1"
c2007d00009d,MiniBeacon,UVA,240 Olsson,243 <-> 245,"56.41,7.64,1.1"
c2007d00006d,MiniBeacon,UVA,240 Olsson,SE23 wall,"52.18,13.46,1.1"
c2007d00036f,MiniBeacon,UVA,240 Olsson,SE-7 wall,"43.09,13.46,1.1"
c2007d00036e,MiniBeacon,UVA,218 Olsson,Outside,"49.89,16.88,1.1"
c2007d000068,MiniBeacon,UVA,225 Olsson,Outside west wall,"52.11,22.56,1.1"
c2007d000069,MiniBeacon,UVA,225 Olsson,Outside,"57.51,18.71,1.1"
c2007d00006f,MiniBeacon,UVA,221 Olsson,East wall,"60.11,23.49,1.1"
c2007d000067,MiniBeacon,UVA,221 Olsson,NE37 <-> NE42,"55.84,30.42,1.1"
c2007d000076,MiniBeacon,UVA,221 Olsson,NE22 <-> NE25,"48.7,28.83,1.1"
c2007d000075,MiniBeacon,UVA,221 Olsson,behind 217 (close to NE15),"43.35,22.65,1.1"
c2007d000370,MiniBeacon,UVA,221 Olsson,close to NE10 whiteboard,"39.98,24.37,1.1"
c2007d000077,MiniBeacon,UVA,221 Olsson,NE 11 <-> NE 13,"41.68,28.86,1.1"
c2007d000078,MiniBeacon,UVA,221 Olsson,opp NE2,"31.71,26.85,1.1"
c2007d000391,MiniBeacon,UVA,217 Olsson,Outside east wall,"48.65,20.65,1.1"
c2007d00008f,MiniBeacon,UVA,203 Olsson,,"31.45,24.16,1.1"
c2007d000062,MiniBeacon,UVA,203 Olsson,,"22.13,28.86,1.1"
c2007d00038a,MiniBeacon,UVA,203 Olsson,,"12.65,22.63,1.1"
c2007d000061,MiniBeacon,UVA,270 Olsson,SW-12 wall,"15.95,13.48,1.1"
c2007d00009c,MiniBeacon,UVA,Olsson 274,opp. SW-5,"13.59,10.01,1.1"
c2007d00008e,MiniBeacon,UVA,203 Olsson,,"31.49,18.98,1.1"
c2007d00006b,MiniBeacon,UVA,240 Olsson,SE5 <-> SE1,"37.8,10.21,1.1"
c2007d00008d,MiniBeacon,UVA,217 Olsson,Outside,"43.12,18.71,1.1"
c2007d000096,MiniBeacon,UVA,203 Olsson,,"13.0,26.87,1.1"
c2007d000063,MiniBeacon,UVA,269 Olsson,,"19.29,1.97,1.1"
c2007d000093,MiniBeacon,UVA,241 Olsson,,"60.11,13.09,1.1"
c2007d00006e,MiniBeacon,UVA,Olsson 225,North wall,"54.36,22.48,1.1"
c2007d00036a,MiniBeacon,UVA,Olsson 225,South wall,"54.63,18.88,1.1"
c2007d000074,MiniBeacon,UVA,221 Olsson,East wall,"60.11,20.25,1.1"
c2007d000072,MiniBeacon,UVA,221 Olsson,East wall,"60.11,26.8,1.1"
c2007d000065,MiniBeacon,UVA,Olsson 217,North wall,"45.3,22.48,1.1"
c2007d000071,MiniBeacon,UVA,Olsson 217,East wall,"48.46,19.33,1.1"
c2007d00006a,MiniBeacon,UVA,Olsson 211,North wall,"33.79,24.2,1.1"
c2007d00005a,MiniBeacon,UVA,211 Olsson,Outside,"40.15,18.81,1.1"
c2007d00005c,MiniBeacon,UVA,208 Olsson,,"19.89,13.98,1.1"
c2007d00009b,MiniBeacon,UVA,208 Olsson,,"17.73,14.54,1.1"
c2007d000094,MiniBeacon,UVA,203 Olsson,,"28.63,28.86,1.1"
c2007d000095,MiniBeacon,UVA,201 Olsson,,"12.54,23.69,1.1"
c2007d000091,MiniBeacon,UVA,201 Olsson,,"8.46,30.39,1.1"
c2007d000092,MiniBeacon,UVA,201 Olsson,,"1.63,30.4,1.1"
c2007d00009e,MiniBeacon,UVA,201 Olsson,West wall,"1.5,23.2,1.1"
c2007d000060,MiniBeacon,UVA,201 Olsson,,"1.46,16.99,1.1"
c2007d00009a,MiniBeacon,UVA,C201 Olsson,"East, visitor side","8.05,16.06,1.1"
c2007d000396,MiniBeacon,UVA,C201 Olsson,"North, on Hardware Lab wall","4.68,16.88,1.1"
c2007d00005f,MiniBeacon,UVA,Olsson 276,,"5.2,10.13,1.1"